towMS,towSubMS,qErr,week,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
94573000,0.0,0,2390,1,1,2,1,0,15,3
94574000,0.0,0,2390,1,1,2,1,0,15,3
94575000,0.0,0,2390,1,1,2,1,0,15,3
94576000,0.0,0,2390,1,1,2,1,0,15,3
94577000,0.0,0,2390,1,1,2,1,0,15,3
94578000,0.0,0,2390,1,1,2,1,0,15,3
94579000,0.0,0,2390,1,1,2,1,0,15,3
94580000,0.0,0,2390,1,1,2,1,0,15,3
94581000,0.0,0,2390,1,1,2,1,0,15,3
94582000,0.0,0,2390,1,1,2,1,0,15,3
94583000,0.0,0,2390,1,1,2,1,0,15,3
94584000,0.0,0,2390,1,1,2,1,0,15,3
94585000,0.0,0,2390,1,1,2,1,0,15,3
94586000,0.0,0,2390,1,1,2,1,0,15,3
94587000,0.0,0,2390,1,1,2,1,0,15,3
94588000,0.0,0,2390,1,1,2,1,0,15,3
94589000,0.0,0,2390,1,1,2,1,0,15,3
94590000,0.0,0,2390,1,1,2,1,0,15,3
94591000,0.0,0,2390,1,1,2,1,0,15,3
94592000,0.0,0,2390,1,1,2,1,0,15,3
94593000,0.0,0,2390,1,1,2,1,0,15,3
94594000,0.0,0,2390,1,1,2,1,0,15,3
94595000,0.0,0,2390,1,1,2,1,0,15,3
94596000,0.0,0,2390,1,1,2,1,0,15,3
94597000,0.0,0,2390,1,1,2,1,0,15,3
94598000,0.0,0,2390,1,1,2,1,0,15,3
94599000,0.0,0,2390,1,1,2,1,0,15,3
94600000,0.0,0,2390,1,1,2,1,0,15,3
94601000,0.0,0,2390,1,1,2,1,0,15,3
94602000,0.0,0,2390,1,1,2,1,0,15,3
94603000,0.0,0,2390,1,1,2,1,0,15,3
94604000,0.0,0,2390,1,1,2,1,0,15,3
94605000,0.0,0,2390,1,1,2,1,0,15,3
94606000,0.0,0,2390,1,1,2,1,0,15,3
94607000,0.0,0,2390,1,1,2,1,0,15,3
94608000,0.0,0,2390,1,1,2,1,0,15,3
94609000,0.0,0,2390,1,1,2,1,0,15,3
94610000,0.0,0,2390,1,1,2,1,0,15,3
94611000,0.0,0,2390,1,1,2,1,0,15,3
94612000,0.0,0,2390,1,1,2,1,0,15,3
94613000,0.0,0,2390,1,1,2,1,0,15,3
94614000,0.0,0,2390,1,1,2,1,0,15,3
94615000,0.0,0,2390,1,1,2,1,0,15,3
94616000,0.0,0,2390,1,1,2,1,0,15,3
94617000,0.0,0,2390,1,1,2,1,0,15,3
94618000,0.0,0,2390,1,1,2,1,0,15,3
94619000,0.0,0,2390,1,1,2,1,0,15,3
94620000,0.0,0,2390,1,1,2,1,0,15,3
94621000,0.0,0,2390,1,1,2,1,0,15,3
94622000,0.0,0,2390,1,1,2,1,0,15,3
94623000,0.0,0,2390,1,1,2,1,0,15,3
94624000,0.0,0,2390,1,1,2,1,0,15,3
94625000,0.0,0,2390,1,1,2,1,0,15,3
94626000,0.0,0,2390,1,1,2,1,0,15,3
94627000,0.0,0,2390,1,1,2,1,0,15,3
94628000,0.0,0,2390,1,1,2,1,0,15,3
94629000,0.0,0,2390,1,1,2,1,0,15,3
94630000,0.0,0,2390,1,1,2,1,0,15,3
94631000,0.0,0,2390,1,1,2,1,0,15,3
94632000,0.0,0,2390,1,1,2,1,0,15,3
94633000,0.0,0,2390,1,1,2,1,0,15,3
94634000,0.0,0,2390,1,1,2,1,0,15,3
94635000,0.0,0,2390,1,1,2,1,0,15,3
94636000,0.0,0,2390,1,1,2,1,0,15,3
94637000,0.0,0,2390,1,1,2,1,0,15,3
94638000,0.0,0,2390,1,1,2,1,0,15,3
94639000,0.0,0,2390,1,1,2,1,0,15,3
94640000,0.0,0,2390,1,1,2,1,0,15,3
94641000,0.0,0,2390,1,1,2,1,0,15,3
94642000,0.0,0,2390,1,1,2,1,0,15,3
94643000,0.0,0,2390,1,1,2,1,0,15,3
94644000,0.0,0,2390,1,1,2,1,0,15,3
