iTOW,version,posCovValid,velCovValid,reserved0,posCovNN,posCovNE,posCovND,posCovEE,posCovED,posCovDD,velCovNN,velCovNE,velCovND,velCovEE,velCovED,velCovDD
94452000,0,1,1,1171368248954360692736,0.248971089720726,-0.0935622900724411,0.17939618229866028,0.4417300224304199,-0.3462180495262146,1.6104857921600342,0.005672051105648279,-4.66126948595047e-06,0.0019247612217441201,0.01024786476045847,-0.0038112662732601166,0.030633779242634773
94453000,0,1,1,1171368248954360692736,0.23595057427883148,-0.07894328236579895,0.15471544861793518,0.4231843948364258,-0.32107141613960266,1.5580270290374756,0.005059430841356516,0.0008048460585996509,0.0010386687936261296,0.009486810304224491,-0.002610569354146719,0.0299624502658844
94454000,0,1,1,1171368248954360692736,0.22365032136440277,-0.06730352342128754,0.13345369696617126,0.4030400514602661,-0.29750803112983704,1.5086777210235596,0.004718650598078966,-4.357134457677603e-06,0.0006978538585826755,0.008633049204945564,-0.0019590703304857016,0.02942907251417637
94455000,0,1,1,1171368248954360692736,0.210477814078331,-0.0565786212682724,0.11112137138843536,0.38011008501052856,-0.26641014218330383,1.4450095891952515,0.0038148064631968737,0.0004417618038132787,-5.544814484892413e-05,0.007159069180488586,0.0001777741126716137,0.02612004429101944
94456000,0,1,1,1171368248954360692736,0.20038390159606934,-0.04544781893491745,0.09229302406311035,0.35979461669921875,-0.24153341352939606,1.393987774848938,0.0040818569250404835,0.0007661397685296834,0.00019476027227938175,0.006773496046662331,-0.0004967491840943694,0.025423377752304077
94457000,0,1,1,1171368248954360692736,0.19177484512329102,-0.0368431881070137,0.07734797894954681,0.3424578011035919,-0.2190985381603241,1.347826361656189,0.00392420869320631,0.0008129418711178005,0.0003945120261050761,0.006747999228537083,-0.0007377569563686848,0.02493009716272354
94458000,0,1,1,1171368248954360692736,0.1842089593410492,-0.029598303139209747,0.06635546684265137,0.3291220963001251,-0.19823656976222992,1.3108446598052979,0.004026361741125584,0.0010539117502048612,0.0004161106771789491,0.007686253171414137,0.0009852440562099218,0.025925958529114723
94459000,0,1,1,1171368248954360692736,0.17889274656772614,-0.024053119122982025,0.05565923452377319,0.3196007013320923,-0.1827954649925232,1.2852097749710083,0.004231751896440983,0.0009973132982850075,-0.00030593841802328825,0.007115502841770649,0.00016218097880482674,0.025961918756365776
94460000,0,1,1,1171368248954360692736,0.1745378077030182,-0.019231516867876053,0.046001553535461426,0.3114571273326874,-0.16847112774848938,1.2633728981018066,0.0044985488057136536,0.0008779814816080034,-2.787426274153404e-05,0.00772159593179822,0.0006438542623072863,0.027158569544553757
94461000,0,1,1,1171368248954360692736,0.16954344511032104,-0.014624250121414661,0.03794141858816147,0.30283322930336,-0.15752267837524414,1.2401196956634521,0.0036574213299900293,0.0008718433091416955,-0.00046977258170954883,0.006474749185144901,-0.0001370615791529417,0.02475084736943245
94462000,0,1,1,1171368248954360692736,0.1642371267080307,-0.011049837805330753,0.03139679133892059,0.2941295802593231,-0.14634442329406738,1.2166967391967773,0.003636080538854003,0.000697559502441436,-0.00011400951188988984,0.006249915808439255,0.0002092036884278059,0.023154012858867645
94463000,0,1,1,1171368248954360692736,0.16040049493312836,-0.007737287320196629,0.024427520111203194,0.2885437607765198,-0.13814757764339447,1.2060691118240356,0.004009920638054609,0.0005817649071104825,-9.205889364238828e-05,0.006828718353062868,0.00105763110332191,0.025441832840442657
94464000,0,1,1,1171368248954360692736,0.15817609429359436,-0.004951704293489456,0.0176385547965765,0.28507810831069946,-0.13084851205348969,1.2046974897384644,0.003821571357548237,0.0005451460601761937,0.00034979506745003164,0.007616114802658558,0.0015645730309188366,0.026470912620425224
94465000,0,1,1,1171368248954360692736,0.1573401391506195,-0.0015098713338375092,0.014286532998085022,0.2832934558391571,-0.12524357438087463,1.2118510007858276,0.004523002542555332,0.0008565190364606678,0.0007312724483199418,0.008061736822128296,0.0012844931334257126,0.02870924025774002
94466000,0,1,1,1171368248954360692736,0.15594902634620667,0.0018276488408446312,0.013686850666999817,0.2796357274055481,-0.12176509201526642,1.2105717658996582,0.004202676936984062,0.0006667065899819136,0.0013338859425857663,0.0057824342511594296,0.00037115358281880617,0.024258527904748917
94467000,0,1,1,1171368248954360692736,0.1546710729598999,0.004535182379186153,0.014562705531716347,0.27684295177459717,-0.11921071261167526,1.2107515335083008,0.004341338761150837,0.0014113755896687508,0.0009357819799333811,0.006452767178416252,-0.0012139147147536278,0.024710120633244514
94468000,0,1,1,1171368248954360692736,0.15376192331314087,0.008323529735207558,0.014696764759719372,0.27470141649246216,-0.12007534503936768,1.2115871906280518,0.004481980577111244,0.00148405646905303,0.0007980854716151953,0.007530723698437214,-0.0010187131119892001,0.02610485441982746
94469000,0,1,1,1171368248954360692736,0.15421700477600098,0.010802320204675198,0.015884729102253914,0.27502450346946716,-0.12083975970745087,1.2219305038452148,0.005824695341289043,0.0013114240719005466,0.0013385493075475097,0.008770941756665707,-0.002329465700313449,0.03014686517417431
94470000,0,1,1,1171368248954360692736,0.1586848944425583,0.011808430776000023,0.024553779512643814,0.2787235975265503,-0.12368552386760712,1.2481220960617065,0.00789226870983839,0.0015032674418762326,0.003929974045604467,0.010305364616215229,-0.001508838962763548,0.03408832475543022
94471000,0,1,1,1171368248954360692736,0.16382691264152527,0.01506728120148182,0.03106258437037468,0.2879863679409027,-0.12071549892425537,1.2762788534164429,0.007047839462757111,0.0029152564238756895,0.00198275875300169,0.011891872622072697,0.00031375489197671413,0.03533487766981125
94472000,0,1,1,1171368248954360692736,0.1658669412136078,0.019704073667526245,0.03648637235164642,0.29673659801483154,-0.10908161103725433,1.3079321384429932,0.0064423275180161,0.00265018199570477,0.0036088209599256516,0.011460008099675179,0.003155831480398774,0.037877343595027924
94473000,0,1,1,1171368248954360692736,0.17069393396377563,0.022627655416727066,0.04957941174507141,0.3084203600883484,-0.09935027360916138,1.3545317649841309,0.007572164759039879,0.002499931026250124,0.0054265172220766544,0.013713259249925613,0.002380816265940666,0.04171633720397949
94474000,0,1,1,1171368248954360692736,0.17621766030788422,0.027501186355948448,0.06047211214900017,0.31980136036872864,-0.08351986110210419,1.387608289718628,0.00808174442499876,0.003506783861666918,0.004255305975675583,0.012280017137527466,0.005889104679226875,0.03869328647851944
94475000,0,1,1,1171368248954360692736,0.18158695101737976,0.03395502269268036,0.0672963336110115,0.32850784063339233,-0.0628703162074089,1.4146056175231934,0.00826790276914835,0.00408351793885231,0.004375515505671501,0.011691296473145485,0.0076776957139372826,0.03794575482606888
94476000,0,1,1,1171368248954360692736,0.18705222010612488,0.040789149701595306,0.07764239609241486,0.33728334307670593,-0.04082505404949188,1.4423693418502808,0.00900618638843298,0.004178315866738558,0.006257657427340746,0.012713015079498291,0.007370373234152794,0.04014044255018234
94477000,0,1,1,1171368248954360692736,0.19626519083976746,0.04857080429792404,0.09401237964630127,0.3486977815628052,-0.019875336438417435,1.4836288690567017,0.011254359968006611,0.005755458027124405,0.007190558593720198,0.01383293978869915,0.008044455200433731,0.044614776968955994
94478000,0,1,1,1171368248954360692736,0.20815515518188477,0.056735213845968246,0.112401083111763,0.35932856798171997,0.0018274225294589996,1.523939609527588,0.011331270448863506,0.004758320748806,0.009010558016598225,0.01232091523706913,0.00976552814245224,0.043987810611724854
