iTOW,SOW,fSOW,week,leapS,sowValid,weekValid,leapSValid,tAcc
94591000,94577,-464292,1034,4,1,1,1,4
94592000,94578,-464358,1034,4,1,1,1,4
94593000,94579,-464424,1034,4,1,1,1,4
94594000,94580,-464490,1034,4,1,1,1,4
94595000,94581,-464556,1034,4,1,1,1,4
94596000,94582,-464622,1034,4,1,1,1,4
94597000,94583,-464689,1034,4,1,1,1,4
94598000,94584,-464756,1034,4,1,1,1,4
94599000,94585,-464824,1034,4,1,1,1,4
94600000,94586,-464891,1034,4,1,1,1,4
94601000,94587,-464958,1034,4,1,1,1,4
94602000,94588,-465024,1034,4,1,1,1,4
94603000,94589,-465091,1034,4,1,1,1,4
94604000,94590,-465159,1034,4,1,1,1,4
94605000,94591,-465227,1034,4,1,1,1,4
94606000,94592,-465296,1034,4,1,1,1,4
94607000,94593,-465366,1034,4,1,1,1,4
94608000,94594,-465436,1034,4,1,1,1,4
94609000,94595,-465505,1034,4,1,1,1,4
94610000,94596,-465573,1034,4,1,1,1,4
94611000,94597,-465642,1034,4,1,1,1,4
94612000,94598,-465711,1034,4,1,1,1,4
94613000,94599,-465779,1034,4,1,1,1,4
94614000,94600,-465847,1034,4,1,1,1,4
94615000,94601,-465914,1034,4,1,1,1,4
94616000,94602,-465982,1034,4,1,1,1,4
94617000,94603,-466049,1034,4,1,1,1,4
94618000,94604,-466117,1034,4,1,1,1,4
94619000,94605,-466185,1034,4,1,1,1,4
94620000,94606,-466253,1034,4,1,1,1,4
94621000,94607,-466320,1034,4,1,1,1,4
94622000,94608,-466386,1034,4,1,1,1,5
94623000,94609,-466452,1034,4,1,1,1,5
94624000,94610,-466518,1034,4,1,1,1,5
94625000,94611,-466585,1034,4,1,1,1,5
94626000,94612,-466652,1034,4,1,1,1,5
94627000,94613,-466718,1034,4,1,1,1,5
94628000,94614,-466785,1034,4,1,1,1,5
94629000,94615,-466851,1034,4,1,1,1,5
94630000,94616,-466917,1034,4,1,1,1,5
94631000,94617,-466984,1034,4,1,1,1,5
94632000,94618,-467052,1034,4,1,1,1,5
94633000,94619,-467119,1034,4,1,1,1,5
94634000,94620,-467187,1034,4,1,1,1,5
94635000,94621,-467254,1034,4,1,1,1,5
94636000,94622,-467322,1034,4,1,1,1,5
94637000,94623,-467390,1034,4,1,1,1,5
94638000,94624,-467457,1034,4,1,1,1,4
94639000,94625,-467524,1034,4,1,1,1,4
94640000,94626,-467591,1034,4,1,1,1,4
94641000,94627,-467659,1034,4,1,1,1,4
94642000,94628,-467726,1034,4,1,1,1,4
94643000,94629,-467793,1034,4,1,1,1,4
94644000,94630,-467860,1034,4,1,1,1,4
94645000,94631,-467926,1034,4,1,1,1,4
94646000,94632,-467994,1034,4,1,1,1,4
94647000,94633,-468061,1034,4,1,1,1,4
94648000,94634,-468126,1034,4,1,1,1,4
94649000,94635,-468191,1034,4,1,1,1,4
94650000,94636,-468257,1034,4,1,1,1,4
94651000,94637,-468322,1034,4,1,1,1,4
94652000,94638,-468390,1034,4,1,1,1,4
94653000,94639,-468457,1034,4,1,1,1,4
94654000,94640,-468523,1034,4,1,1,1,4
94655000,94641,-468593,1034,4,1,1,1,4
94656000,94642,-468663,1034,4,1,1,1,4
