iTOW,version,reserved0,srcOfCurrLs,currLs,srcOfLsChange,lsChange,timeToLsEvent,dateOfLsGpsWn,dateOfLsGpsDn,reserved1,validCurrLs,validTimeToLsEvent
94649000,0,0,2,18,2,0,31354970,2441,7,0,1,1
94650000,0,0,2,18,2,0,31354969,2441,7,0,1,1
94651000,0,0,2,18,2,0,31354968,2441,7,0,1,1
94652000,0,0,2,18,2,0,31354967,2441,7,0,1,1
94653000,0,0,2,18,2,0,31354966,2441,7,0,1,1
94654000,0,0,2,18,2,0,31354965,2441,7,0,1,1
94655000,0,0,2,18,2,0,31354964,2441,7,0,1,1
94656000,0,0,2,18,2,0,31354963,2441,7,0,1,1
94657000,0,0,2,18,2,0,31354962,2441,7,0,1,1
94658000,0,0,2,18,2,0,31354961,2441,7,0,1,1
94659000,0,0,2,18,2,0,31354960,2441,7,0,1,1
94660000,0,0,2,18,2,0,31354959,2441,7,0,1,1
94661000,0,0,2,18,2,0,31354958,2441,7,0,1,1
