version,tmirCoeff,tmirExp,plPosValid,plPosFrame,plVelValid,plVelFrame,plTimeValid,reserved,iTOW,plPos1,plPos2,plPos3,plVel1,plVel2,plVel3,plPosHorizOrient,plVelHorizOrient,plTime,reserved2
1,5,0,1,1,0,0,0,0,94513000,2161,2849,5515,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94514000,2197,2847,5550,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94515000,2203,2810,5540,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94516000,2205,2748,5483,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94517000,2193,2711,5440,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94518000,2198,2663,5403,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94519000,2188,2630,5374,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94520000,2160,2618,5344,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94521000,2115,2579,5253,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94522000,2105,2554,5219,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94523000,2106,2540,5200,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94524000,2087,2487,5122,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94525000,2067,2482,5103,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94526000,2073,2473,5122,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94527000,2060,2456,5089,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94528000,2037,2442,5046,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94529000,1984,2407,4948,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94530000,1959,2387,4900,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94531000,1898,2348,4792,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94532000,1852,2324,4722,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94533000,1867,2332,4747,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94534000,1849,2286,4637,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94535000,1819,2231,4555,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94536000,1769,2168,4432,0,0,0,0,0,0,0
