msgVer,bootType,cpuLoad,cpuLoadMax,memUsage,memUsageMax,ioUsage,ioUsageMax,runTime,noticeCount,warnCount,errorCount,tempValue,reserved0
1,1,51,56,12,27,15,74,461,14,0,0,28,0
1,1,53,56,12,27,15,74,462,14,0,0,29,0
1,1,51,56,12,27,15,74,463,14,0,0,30,0
1,1,51,56,12,27,15,74,464,14,0,0,30,0
1,1,51,56,12,27,15,74,465,14,0,0,31,0
1,1,52,56,12,27,16,74,466,14,0,0,27,0
1,1,51,56,12,27,18,74,467,14,0,0,29,0
1,1,54,56,12,27,16,74,468,14,0,0,31,0
1,1,52,56,12,27,15,74,469,14,0,0,29,0
1,1,51,56,12,27,16,74,470,14,0,0,29,0
1,1,54,56,12,27,16,74,471,14,0,0,30,0
1,1,52,56,12,27,15,74,472,14,0,0,30,0
1,1,51,56,12,27,17,74,473,14,0,0,28,0
1,1,51,56,12,27,15,74,474,14,0,0,28,0
1,1,52,56,12,27,16,74,475,14,0,0,30,0
1,1,54,56,12,27,15,74,476,14,0,0,28,0
1,1,52,56,12,27,15,74,477,14,0,0,28,0
1,1,53,56,12,27,15,74,478,14,0,0,30,0
1,1,53,56,12,27,19,74,479,14,0,0,31,0
1,1,56,56,12,27,15,74,480,14,0,0,29,0
1,1,53,56,12,27,16,74,481,14,0,0,28,0
1,1,54,56,12,27,15,74,482,14,0,0,31,0
1,1,54,56,12,27,16,74,483,14,0,0,28,0
1,1,53,56,12,27,19,74,484,14,0,0,29,0
1,1,54,56,12,27,15,74,485,14,0,0,31,0
1,1,55,56,12,27,17,74,486,14,0,0,28,0
1,1,53,56,12,27,15,74,487,14,0,0,29,0
1,1,54,56,12,27,15,74,488,14,0,0,30,0
1,1,55,56,12,27,15,74,489,14,0,0,29,0
1,1,55,56,12,27,15,74,490,14,0,0,29,0
1,1,55,56,12,27,15,74,491,14,0,0,30,0
1,1,58,58,12,27,16,74,492,14,0,0,28,0
1,1,53,58,12,27,18,74,493,14,0,0,29,0
1,1,54,58,12,27,15,74,494,14,0,0,28,0
1,1,53,58,12,27,15,74,495,14,0,0,30,0
1,1,53,58,12,27,16,74,496,14,0,0,31,0
1,1,52,58,12,27,16,74,497,14,0,0,30,0
1,1,52,58,12,27,15,74,498,14,0,0,29,0
1,1,50,58,12,27,15,74,499,14,0,0,30,0
1,1,50,58,12,27,15,74,500,14,0,0,29,0
1,1,50,58,12,27,16,74,501,14,0,0,30,0
1,1,51,58,12,27,15,74,502,14,0,0,28,0
1,1,50,58,12,27,15,74,503,14,0,0,30,0
1,1,51,58,12,27,15,74,504,14,0,0,27,0
1,1,50,58,12,27,19,74,505,14,0,0,30,0
1,1,50,58,12,27,15,74,506,14,0,0,28,0
1,1,51,58,12,27,15,74,507,14,0,0,29,0
1,1,52,58,12,27,15,74,508,14,0,0,30,0
1,1,49,58,12,27,15,74,509,14,0,0,31,0
1,1,51,58,12,27,15,74,510,14,0,0,29,0
1,1,50,58,12,27,15,74,511,14,0,0,30,0
1,1,52,58,12,27,15,74,512,14,0,0,31,0
1,1,52,58,12,27,17,74,513,14,0,0,29,0
