iTOW,gpsFix,gpsFixOk,diffSoln,wknSet,towSet,diffCorr,carrSolnValid,mapMatching,psmState,spoofDetState,carrSoln,ttff,msss
94602000,3,1,1,1,1,0,1,0,0,1,0,33680,507668
94603000,3,1,1,1,1,0,1,0,0,1,0,33680,508668
94604000,3,1,1,1,1,0,1,0,0,1,0,33680,509668
94605000,3,1,1,1,1,0,1,0,0,1,0,33680,510668
94606000,3,1,1,1,1,0,1,0,0,1,0,33680,511668
94607000,3,1,1,1,1,0,1,0,0,1,0,33680,512668
94608000,3,1,1,1,1,0,1,0,0,1,0,33680,513668
94609000,3,1,1,1,1,0,1,0,0,1,0,33680,514668
94610000,3,1,1,1,1,0,1,0,0,1,0,33680,515668
94611000,3,1,1,1,1,0,1,0,0,1,0,33680,516668
94612000,3,1,1,1,1,0,1,0,0,1,0,33680,517668
94613000,3,1,1,1,1,0,1,0,0,1,0,33680,518668
94614000,3,1,1,1,1,0,1,0,0,1,0,33680,519668
94615000,3,1,1,1,1,0,1,0,0,1,0,33680,520668
94616000,3,1,1,1,1,0,1,0,0,1,0,33680,521668
94617000,3,1,1,1,1,0,1,0,0,1,0,33680,522668
94618000,3,1,1,1,1,0,1,0,0,1,0,33680,523668
94619000,3,1,1,1,1,0,1,0,0,1,0,33680,524668
94620000,3,1,1,1,1,0,1,0,0,1,0,33680,525668
94621000,3,1,1,1,1,0,1,0,0,1,0,33680,526668
94622000,3,1,1,1,1,0,1,0,0,1,0,33680,527668
94623000,3,1,1,1,1,0,1,0,0,1,0,33680,528668
94624000,3,1,1,1,1,0,1,0,0,1,0,33680,529668
94625000,3,1,1,1,1,0,1,0,0,1,0,33680,530668
94626000,3,1,1,1,1,0,1,0,0,1,0,33680,531668
94627000,3,1,1,1,1,0,1,0,0,1,0,33680,532668
94628000,3,1,1,1,1,0,1,0,0,1,0,33680,533668
94629000,3,1,1,1,1,0,1,0,0,1,0,33680,534668
94630000,3,1,1,1,1,0,1,0,0,1,0,33680,535668
94631000,3,1,1,1,1,0,1,0,0,1,0,33680,536668
94632000,3,1,1,1,1,0,1,0,0,1,0,33680,537668
94633000,3,1,1,1,1,0,1,0,0,1,0,33680,538668
94634000,3,1,1,1,1,0,1,0,0,1,0,33680,539668
94635000,3,1,1,1,1,0,1,0,0,1,0,33680,540668
94636000,3,1,1,1,1,0,1,0,0,1,0,33680,541668
94637000,3,1,1,1,1,0,1,0,0,1,0,33680,542668
94638000,3,1,1,1,1,0,1,0,0,1,0,33680,543668
94639000,3,1,1,1,1,0,1,0,0,1,0,33680,544668
94640000,3,1,1,1,1,0,1,0,0,1,0,33680,545668
94641000,3,1,1,1,1,0,1,0,0,1,0,33680,546668
94642000,3,1,1,1,1,0,1,0,0,1,0,33680,547668
94643000,3,1,1,1,1,0,1,0,0,1,0,33680,548668
94644000,3,1,1,1,1,0,1,0,0,1,0,33680,549668
94645000,3,1,1,1,1,0,1,0,0,1,0,33680,550668
94646000,3,1,1,1,1,0,1,0,0,1,0,33680,551668
94647000,3,1,1,1,1,0,1,0,0,1,0,33680,552668
94648000,3,1,1,1,1,0,1,0,0,1,0,33680,553668
94649000,3,1,1,1,1,0,1,0,0,1,0,33680,554668
94650000,3,1,1,1,1,0,1,0,0,1,0,33680,555668
94651000,3,1,1,1,1,0,1,0,0,1,0,33680,556668
94652000,3,1,1,1,1,0,1,0,0,1,0,33680,557668
94653000,3,1,1,1,1,0,1,0,0,1,0,33680,558668
94654000,3,1,1,1,1,0,1,0,0,1,0,33680,559668
94655000,3,1,1,1,1,0,1,0,0,1,0,33680,560668
94656000,3,1,1,1,1,0,1,0,0,1,0,33680,561668
94657000,3,1,1,1,1,0,1,0,0,1,0,33680,562668
94658000,3,1,1,1,1,0,1,0,0,1,0,33680,563668
94659000,3,1,1,1,1,0,1,0,0,1,0,33680,564668
94660000,3,1,1,1,1,0,1,0,0,1,0,33680,565668
94661000,3,1,1,1,1,0,1,0,0,1,0,33680,566668
