version,reserved0,invalidLlh,iTOW,lon,lat,height,hMSL,hAcc,vAcc
0,0,0,94541000,114.180154927,22.305613733,18277.6,19890.4,715.4,1140.8
0,0,0,94542000,114.180146861,22.305610876,18317.3,19930.1,709.6,1131.3
0,0,0,94543000,114.180139373,22.305608026,18277.8,19890.6,705.0,1126.3
0,0,0,94544000,114.18013093,22.305604937,18302.1,19914.9,699.4,1117.1
0,0,0,94545000,114.180121364,22.305602209,18233.8,19846.6,696.2,1111.5
0,0,0,94546000,114.180113027,22.305600196,18218.7,19831.6,691.8,1102.8
0,0,0,94547000,114.180103975,22.305599346,18249.9,19862.9,690.6,1099.7
0,0,0,94548000,114.180095259,22.305598356,18229.3,19842.2,688.4,1094.2
0,0,0,94549000,114.180087258,22.305597735,18298.3,19911.3,681.9,1084.6
0,0,0,94550000,114.180079417,22.305598339,18283.4,19896.4,677.2,1077.5
0,0,0,94551000,114.180072599,22.305599439,18366.0,19979.0,673.0,1071.1
0,0,0,94552000,114.180064888,22.305601478,18437.3,20050.4,670.3,1067.8
0,0,0,94553000,114.180056349,22.305604079,18423.1,20036.2,665.1,1062.8
0,0,0,94554000,114.180047791,22.305606801,18424.1,20037.2,664.2,1064.4
0,0,0,94555000,114.180039321,22.305609348,18381.2,19994.3,664.4,1066.9
0,0,0,94556000,114.180031498,22.305611887,18408.2,20021.4,668.8,1075.5
0,0,0,94557000,114.180024392,22.305615579,18464.5,20077.7,676.8,1086.9
0,0,0,94558000,114.180017634,22.305620355,18519.1,20132.3,680.8,1092.5
0,0,0,94559000,114.180011827,22.305626242,18530.5,20143.8,689.7,1101.7
0,0,0,94560000,114.180007181,22.305632327,18559.3,20172.6,701.2,1114.2
0,0,0,94561000,114.18000491,22.305638479,18709.4,20322.7,720.0,1132.9
0,0,0,94562000,114.180005322,22.305645044,18752.8,20366.1,751.8,1171.4
0,0,0,94563000,114.180006746,22.305653174,18817.2,20430.5,777.4,1201.6
0,0,0,94564000,114.180009336,22.305660303,18431.7,20045.1,790.1,1213.5
0,0,0,94565000,114.180015658,22.305663886,18532.5,20145.8,797.4,1223.5
0,0,0,94566000,114.180022033,22.30566829,18591.0,20204.3,809.9,1237.2
0,0,0,94567000,114.180028707,22.305673039,18690.2,20303.4,826.9,1257.4
0,0,0,94568000,114.180035269,22.305678601,18703.2,20316.5,845.3,1277.8
0,0,0,94569000,114.180042486,22.305684193,18681.7,20295.0,858.3,1291.6
0,0,0,94570000,114.180049977,22.305689998,18649.1,20262.3,866.3,1298.3
0,0,0,94571000,114.180057774,22.305694364,18627.1,20240.3,873.2,1303.2
0,0,0,94572000,114.180065012,22.305698718,18551.1,20164.2,874.1,1298.0
