version,nBlocks,reserved0,blockId_01,jammingState_01,antStatus_01,antPower_01,postStatus_01,reserved1_01,noisePerMS_01,agcCnt_01,jamInd_01,ofsI_01,magI_01,ofsQ_01,magQ_01,reserved2_01,blockId_02,jammingState_02,antStatus_02,antPower_02,postStatus_02,reserved1_02,noisePerMS_02,agcCnt_02,jamInd_02,ofsI_02,magI_02,ofsQ_02,magQ_02,reserved2_02
0,2,0,0,0,1,2,0,0,91,5265,5,10,148,2,144,0,1,0,1,2,0,0,53,4914,6,21,127,17,126,0
0,2,0,0,0,1,2,0,0,90,5265,10,14,148,7,146,0,1,0,1,2,0,0,53,4563,5,18,204,1,234,0
0,2,0,0,0,1,2,0,0,91,5265,6,10,149,4,146,0,1,0,1,2,0,0,49,4563,3,26,141,17,132,0
0,2,0,0,0,1,2,0,0,91,5265,7,15,149,6,146,0,1,0,1,2,0,0,49,4563,3,20,150,13,151,0
0,2,0,0,0,1,2,0,0,91,5265,10,9,147,5,146,0,1,0,1,2,0,0,49,4914,3,20,166,15,168,0
0,2,0,0,0,1,2,0,0,90,5265,7,18,151,3,143,0,1,0,1,2,0,0,56,4914,3,17,176,6,210,0
0,2,0,0,0,1,2,0,0,90,5265,5,17,149,5,147,0,1,0,1,2,0,0,52,4563,3,11,126,19,152,0
0,2,0,0,0,1,2,0,0,90,5265,6,14,148,3,146,0,1,0,1,2,0,0,52,4563,4,28,152,14,142,0
0,2,0,0,0,1,2,0,0,90,5265,8,2,150,8,145,0,1,0,1,2,0,0,52,4563,5,16,179,20,201,0
0,2,0,0,0,1,2,0,0,90,5265,14,12,150,1,144,0,1,0,1,2,0,0,52,4563,3,9,155,15,174,0
0,2,0,0,0,1,2,0,0,90,5265,13,6,149,9,147,0,1,0,1,2,0,0,52,4563,4,5,218,10,214,0
0,2,0,0,0,1,2,0,0,90,5265,16,13,150,4,149,0,1,0,1,2,0,0,52,4563,5,24,206,1,224,0
0,2,0,0,0,1,2,0,0,90,5265,16,0,150,5,146,0,1,0,1,2,0,0,48,4563,2,11,212,11,202,0
0,2,0,0,0,1,2,0,0,90,5265,9,9,148,3,146,0,1,0,1,2,0,0,48,4563,3,12,222,20,190,0
0,2,0,0,0,1,2,0,0,90,5265,12,16,151,2,145,0,1,0,1,2,0,0,48,4563,4,25,182,3,193,0
0,2,0,0,0,1,2,0,0,90,5265,9,16,150,9,147,0,1,0,1,2,0,0,48,4563,3,20,173,17,167,0
0,2,0,0,0,1,2,0,0,90,5265,11,14,153,7,148,0,1,0,1,2,0,0,51,4563,5,21,239,2,197,0
0,2,0,0,0,1,2,0,0,89,5265,7,7,151,1,152,0,1,0,1,2,0,0,51,4563,5,18,155,8,138,0
0,2,0,0,0,1,2,0,0,83,5265,13,10,154,3,152,0,1,0,1,2,0,0,51,4563,4,16,125,19,128,0
0,2,0,0,0,1,2,0,0,83,5265,14,15,154,5,151,0,1,0,1,2,0,0,51,4914,7,25,200,6,193,0
0,2,0,0,0,1,2,0,0,83,5265,5,12,158,2,155,0,1,0,1,2,0,0,51,4914,4,19,185,9,186,0
0,2,0,0,0,1,2,0,0,83,5265,5,12,150,0,146,0,1,0,1,2,0,0,51,4914,5,18,198,6,179,0
0,2,0,0,0,1,2,0,0,83,5265,4,14,151,5,146,0,1,0,1,2,0,0,51,4563,3,18,163,22,140,0
0,2,0,0,0,1,2,0,0,83,5265,6,9,152,3,147,0,1,0,1,2,0,0,51,4563,3,23,162,18,136,0
0,2,0,0,0,1,2,0,0,83,5265,4,14,156,1,149,0,1,0,1,2,0,0,55,4563,8,22,166,7,167,0
0,2,0,0,0,1,2,0,0,83,5265,6,11,158,0,152,0,1,0,1,2,0,0,55,4563,6,27,181,15,168,0
0,2,0,0,0,1,2,0,0,83,5265,5,15,149,4,140,0,1,0,1,2,0,0,55,4563,8,22,146,16,135,0
0,2,0,0,0,1,2,0,0,83,5265,6,5,152,-1,149,0,1,0,1,2,0,0,55,4563,3,16,129,18,126,0
0,2,0,0,0,1,2,0,0,83,5265,5,14,151,3,149,0,1,0,1,2,0,0,55,4914,7,16,181,1,189,0
0,2,0,0,0,1,2,0,0,83,5265,5,4,152,4,146,0,1,0,1,2,0,0,55,4914,5,12,226,-6,255,0
0,2,0,0,0,1,2,0,0,83,5265,8,10,151,9,145,0,1,0,1,2,0,0,51,4563,3,27,151,19,145,0
0,2,0,0,0,1,2,0,0,83,5265,6,13,153,0,148,0,1,0,1,2,0,0,51,4914,3,22,164,-3,171,0
0,2,0,0,0,1,2,0,0,83,5265,4,9,157,0,148,0,1,0,1,2,0,0,52,4914,4,15,156,7,153,0
0,2,0,0,0,1,2,0,0,82,5265,4,8,148,7,147,0,1,0,1,2,0,0,52,4914,6,8,197,4,200,0
0,2,0,0,0,1,2,0,0,82,5265,5,2,151,3,151,0,1,0,1,2,0,0,52,4914,3,17,172,1,191,0
0,2,0,0,0,1,2,0,0,83,5265,5,12,151,4,148,0,1,0,1,2,0,0,52,4914,4,4,157,6,150,0
0,2,0,0,0,1,2,0,0,83,5265,5,13,152,5,148,0,1,0,1,2,0,0,52,4914,6,15,163,12,151,0
0,2,0,0,0,1,2,0,0,83,5265,4,12,158,4,153,0,1,0,1,2,0,0,51,4914,7,23,182,7,204,0
0,2,0,0,0,1,2,0,0,83,5265,5,12,153,5,139,0,1,0,1,2,0,0,51,4914,4,8,188,4,168,0
0,2,0,0,0,1,2,0,0,83,5265,5,12,153,4,150,0,1,0,1,2,0,0,51,4914,4,14,185,8,174,0
