version,nPorts,mem,alloc,reserved0,protIds_01,protIds_02,protIds_03,protIds_04,portId_01,txPending_01,txBytes_01,txUsage_01,txPeakUsage_01,rxPending_01,rxBytes_01,rxUsage_01,rxPeakUsage_01,overrunErrs_01,msgs_01_01,msgs_01_02,msgs_01_03,msgs_01_04,reserved1_01,skipped_01,portId_02,txPending_02,txBytes_02,txUsage_02,txPeakUsage_02,rxPending_02,rxBytes_02,rxUsage_02,rxPeakUsage_02,overrunErrs_02,msgs_02_01,msgs_02_02,msgs_02_03,msgs_02_04,reserved1_02,skipped_02,portId_03,txPending_03,txBytes_03,txUsage_03,txPeakUsage_03,rxPending_03,rxBytes_03,rxUsage_03,rxPeakUsage_03,overrunErrs_03,msgs_03_01,msgs_03_02,msgs_03_03,msgs_03_04,reserved1_03,skipped_03,portId_04,txPending_04,txBytes_04,txUsage_04,txPeakUsage_04,rxPending_04,rxBytes_04,rxUsage_04,rxPeakUsage_04,overrunErrs_04,msgs_04_01,msgs_04_02,msgs_04_03,msgs_04_04,reserved1_04,skipped_04
0,4,0,0,0,0,1,5,6,256,1010,538710,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2563434,0,0,0,2495592,4,12,0,11888,0,0,0,0,132,768,0,3027422,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2483346,9,10,0,1955654,4,8,0,5733,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,953,540621,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2569234,0,0,0,2502249,5,12,0,11915,0,0,0,0,132,768,0,3037655,16,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2489870,9,10,0,1961454,4,8,0,5749,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,968,542508,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2575510,0,0,0,2509864,4,12,0,11954,0,0,0,0,132,768,0,3048711,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2497402,9,10,0,1967730,5,8,0,5768,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1053,544353,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2581222,0,0,0,2516212,4,12,0,11981,0,0,0,0,132,768,0,3058850,16,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2503926,9,10,0,1973442,4,8,0,5784,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1001,546329,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2587254,0,0,0,2523279,4,12,0,12013,0,0,0,0,132,768,0,3069101,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2510870,8,10,0,1979474,4,8,0,5801,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1014,548268,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2593242,0,0,0,2529930,4,12,0,12040,0,0,0,0,132,768,0,3079455,19,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2517394,9,10,0,1985462,4,8,0,5819,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1086,550148,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2599418,0,0,0,2536583,3,12,0,12072,0,0,0,0,132,768,0,3090073,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2524338,9,10,0,1991638,4,8,0,5837,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1073,552159,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2605218,0,0,0,2543110,4,12,0,12099,0,0,0,0,132,768,0,3100342,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2530862,8,10,0,1997438,6,8,0,5853,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1073,554026,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2611394,0,0,0,2550939,4,12,0,12140,0,0,0,0,132,768,0,3111611,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2538562,9,10,0,2003614,5,8,0,5871,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1073,556039,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2617194,0,0,0,2557546,5,12,0,12167,0,0,0,0,132,768,0,3121806,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2545086,9,10,0,2009414,5,8,0,5887,0,0,0,0,0
