pending_01,pending_02,pending_03,pending_04,pending_05,pending_06,usage_01,usage_02,usage_03,usage_04,usage_05,usage_06,peakUsage_01,peakUsage_02,peakUsage_03,peakUsage_04,peakUsage_05,peakUsage_06,tUsage,tPeakUsage,limit,lem,alloc,reserved0
0,1189,0,0,0,0,0,15,0,19,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1134,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,27,74,0,0,0,0
0,1121,0,0,0,0,0,15,0,16,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1139,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,1108,0,0,0,0,0,15,0,16,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1152,0,0,0,0,0,15,0,19,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1121,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,28,74,0,0,0,0
0,1121,0,0,0,0,0,15,0,17,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1121,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,1121,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,27,74,0,0,0,0
0,1049,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1141,0,0,0,0,0,14,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,1141,0,0,0,0,0,14,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,1075,0,0,0,0,0,14,0,16,0,0,0,16,0,74,0,0,30,74,0,0,0,0
0,1075,0,0,0,0,0,14,0,18,0,0,0,16,0,74,0,0,30,74,0,0,0,0
0,1075,0,0,0,0,0,14,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,990,0,0,0,0,0,14,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,1062,0,0,0,0,0,14,0,16,0,0,0,16,0,74,0,0,30,74,0,0,0,0
0,1062,0,0,0,0,0,14,0,16,0,0,0,16,0,74,0,0,30,74,0,0,0,0
0,1093,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,27,74,0,0,0,0
0,1093,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,30,74,0,0,0,0
0,1021,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,1021,0,0,0,0,0,15,0,16,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1093,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,28,74,0,0,0,0
0,1093,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,1093,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1080,0,0,0,0,0,15,0,19,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1080,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,23,74,0,0,0,0
0,1006,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,25,74,0,0,0,0
0,1194,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1019,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1091,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1091,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,29,74,0,0,0,0
0,1019,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,29,74,0,0,0,0
0,1019,0,0,0,0,0,15,0,17,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1133,0,0,0,0,0,15,0,17,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1109,0,0,0,0,0,15,0,18,0,0,0,16,0,74,0,0,32,74,0,0,0,0
0,1006,0,0,0,0,0,15,0,17,0,0,0,16,0,74,0,0,32,74,0,0,0,0
0,1078,0,0,0,0,0,15,0,18,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,993,0,0,0,0,0,15,0,15,0,0,0,16,0,74,0,0,26,74,0,0,0,0
0,1026,0,0,0,0,0,15,0,17,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1098,0,0,0,0,0,15,0,20,0,0,0,16,0,74,0,0,31,74,0,0,0,0
0,1039,0,0,0,0,0,15,0,17,0,0,0,16,0,74,0,0,31,74,0,0,0,0
