version,reserved0,iTOW,ecefX,ecefY,ecefZ,invalidEcef,pAcc
0,0,94628000,-241822738.16,538574921.8,240577016.16,0,1748.7
0,0,94629000,-241822706.54,538574945.63,240577001.26,0,1773.2
0,0,94630000,-241822665.81,538574971.05,240576984.2,0,1792.2
0,0,94631000,-241822630.09,538575010.63,240576957.34,0,1782.9
0,0,94632000,-241822586.32,538575045.85,240576930.18,0,1783.0
0,0,94633000,-241822549.44,538575095.08,240576919.27,0,1776.2
0,0,94634000,-241822517.42,538575132.36,240576913.13,0,1742.1
0,0,94635000,-241822484.49,538575163.09,240576903.46,0,1724.1
0,0,94636000,-241822443.3,538575210.15,240576877.53,0,1685.8
0,0,94637000,-241822388.45,538575258.9,240576855.81,0,1644.7
0,0,94638000,-241822332.28,538575303.03,240576826.69,0,1625.9
0,0,94639000,-241822280.3,538575352.32,240576792.51,0,1612.7
0,0,94640000,-241822226.42,538575401.1,240576753.62,0,1596.2
0,0,94641000,-241822169.88,538575461.56,240576732.01,0,1575.5
0,0,94642000,-241822104.2,538575507.84,240576704.28,0,1563.5
0,0,94643000,-241822039.6,538575559.97,240576669.97,0,1553.8
0,0,94644000,-241821973.88,538575606.37,240576632.75,0,1529.6
0,0,94645000,-241821910.96,538575646.93,240576602.34,0,1500.4
0,0,94646000,-241821844.2,538575706.01,240576580.96,0,1482.2
0,0,94647000,-241821771.43,538575755.92,240576549.41,0,1474.7
0,0,94648000,-241821703.62,538575803.07,240576512.47,0,1464.7
0,0,94649000,-241821638.9,538575839.37,240576467.99,0,1451.9
0,0,94650000,-241821572.4,538575877.93,240576432.03,0,1449.0
0,0,94651000,-241821506.79,538575926.96,240576398.68,0,1446.4
0,0,94652000,-241821444.09,538575971.81,240576372.77,0,1449.9
0,0,94653000,-241821371.93,538576017.98,240576348.18,0,1453.5
0,0,94654000,-241821287.3,538576067.94,240576320.14,0,1426.8
0,0,94655000,-241821210.28,538576105.31,240576291.33,0,1423.4
0,0,94656000,-241821131.32,538576142.43,240576264.08,0,1418.4
0,0,94657000,-241821059.36,538576195.66,240576241.8,0,1407.2
0,0,94658000,-241820982.91,538576229.53,240576234.82,0,1391.1
0,0,94659000,-241820907.67,538576266.32,240576249.45,0,1359.8
0,0,94660000,-241820834.5,538576281.2,240576283.3,0,1340.9
0,0,94661000,-241820783.99,538576280.77,240576326.01,0,1324.1
